genename,change
Adgrg3,Down
1700001O22Rik,Down
Fcgr2b,Down
Rad51ap1,Down
Eme1,Down
ENSMUSG00000085379,Down
Gcnt7,Down
Amt,Down
ENSMUSG00000080783,Down
Ska1,Down
Zfp128,Down
ENSMUSG00000102620,Down
Kif2c,Down
Cdh24,Down
ENSMUSG00000108269,Down
Gm19589,Down
Rsph1,Down
Wfikkn2,Down
Gm12253,Down
ENSMUSG00000112297,Down
BC037704,Down
ENSMUSG00000100426,Down
Pygl,Down
Kcnab1,Down
ENSMUSG00000107136,Down
Tenm1,Down
Rps6ka2,Down
Rhd,Down
ENSMUSG00000112669,Down
Gm14125,Down
Mettl21c,Down
ENSMUSG00000110751,Down
Gm16299,Down
Psd3,Down
Cdh1,Down
Lmo7,Down
Ube4bos3,Down
ENSMUSG00000117704,Down
AA414768,Down
Bbs10,Down
Efcab11,Down
4933413J09Rik,Down
Adssl1,Down
Pbx1,Down
Dnajc6,Down
Cfap45,Down
Mtfr2,Down
ENSMUSG00000102401,Down
Arnt2,Down
ENSMUSG00000109709,Down
Ccdc116,Down
Nkd2,Down
ENSMUSG00000101168,Down
Alpk2,Down
ENSMUSG00000116311,Down
ENSMUSG00000090941,Down
ENSMUSG00000087492,Down
Ccdc78,Down
Gm23747,Down
Prss30,Down
Hes1,Down
Gpx8,Down
Armc2,Down
Kcnip2,Down
Iqgap3,Down
ENSMUSG00000107128,Down
Grhl2,Down
ENSMUSG00000086889,Down
Ankrd61,Down
ENSMUSG00000112433,Down
ENSMUSG00000103454,Down
ENSMUSG00000104273,Down
Epas1,Down
Actr3b,Down
Srpk3,Down
Gm6034,Down
ENSMUSG00000109317,Down
Abca17,Down
Myt1l,Down
Nrip2,Down
Sbk2,Down
Rnase6,Down
ENSMUSG00000105460,Down
ENSMUSG00000085846,Down
ENSMUSG00000116280,Down
ENSMUSG00000104342,Down
Cfap126,Down
ENSMUSG00000110580,Down
ENSMUSG00000089987,Down
Esm1,Down
Aunip,Down
ENSMUSG00000087004,Down
Psrc1,Down
Slc4a4,Down
ENSMUSG00000110702,Down
Dmbt1,Down
Lrriq3,Down
Cyp11a1,Down
Dnah5,Down
Astl,Down
ENSMUSG00000110317,Down
Arfgef3,Down
Lhfpl1,Down
ENSMUSG00000085914,Down
ENSMUSG00000105985,Down
ENSMUSG00000113104,Down
Clba1,Down
Iqch,Down
ENSMUSG00000111947,Down
4933432G23Rik,Down
Ak7,Down
Catsperd,Down
ENSMUSG00000108053,Down
Strip2,Down
Dock1,Down
Rab3il1,Down
Enkur,Down
Rab34,Down
Cc2d2a,Down
Spta1,Down
Hus1b,Down
Mmp14,Down
ENSMUSG00000115553,Down
Olfr56,Down
Mfsd13b,Down
ENSMUSG00000104140,Down
ENSMUSG00000097561,Down
Adcy10,Down
ENSMUSG00000084910,Down
ENSMUSG00000114190,Down
ENSMUSG00000108122,Down
ENSMUSG00000118625,Down
ENSMUSG00000113735,Down
Lrr1,Down
ENSMUSG00000110425,Down
ENSMUSG00000098161,Down
Denn2b,Down
ENSMUSG00000116581,Down
Ccl6,Down
Chn1,Down
Gamt,Down
ENSMUSG00000113898,Down
Atp8b1,Down
Large1,Down
Rap1gap,Down
ENSMUSG00000097111,Down
Sctr,Down
ENSMUSG00000082922,Down
Deptor,Down
Myh6,Down
Gm10432,Down
Ankrd55,Down
Rgs12,Down
Igsf23,Down
Tle6,Down
4930422M22Rik,Down
Ccl9,Down
ENSMUSG00000116173,Down
Fras1,Down
Aldh1l2,Down
Mok,Down
Fgd1,Down
Cep55,Down
Adgrb2,Down
Rhobtb3,Down
ENSMUSG00000024869,Down
Phf11d,Down
ENSMUSG00000110446,Down
Sh3d19,Down
Gtse1,Down
Gm10069,Down
Tcp11,Down
Spag5,Down
Spc25,Down
Neto2,Down
Klrg1,Down
Fcer1g,Down
ENSMUSG00000105447,Down
ENSMUSG00000097141,Down
ENSMUSG00000117959,Down
Gm15682,Down
Arl5c,Down
Rpl31,Down
Gm9396,Down
ENSMUSG00000113555,Down
Rps20,Down
Rplp1,Down
Rpl37a,Down
Rpl12,Down
ENSMUSG00000074800,Down
Rps24,Down
Itk,Down