,condition,type
B6N1,Naive,paired-end
B6N2,Naive,paired-end
B6N3,Naive,paired-end
B6NPP1_B,NPP_B,paired-end
B6NPP1_C5,NPP_C5,paired-end
B6NPP2_B,NPP_B,paired-end
B6NPP2_C5,NPP_C5,paired-end
B6NPP3_B,NPP_B,paired-end
B6NPP3_C5,NPP_C5,paired-end
B6SUB1,SUB,paired-end
B6SUB2,SUB,paired-end
B6SUB3,SUB,paired-end
B6SUB4,SUB,paired-end
B6SPP1_B,SPP_B,paired-end
B6SPP1_C5,SPP_C5,paired-end
B6SPP1_C7,SPP_C7,paired-end
B6SPP2_B,SPP_B,paired-end
B6SPP2_C5,SPP_C5,paired-end
B6SPP2_C7,SPP_C7,paired-end
B6SPP3_B,SPP_B,paired-end
B6SPP3_C5,SPP_C5,paired-end
B6SPP3_C7,SPP_C7,paired-end
B6SPP4_B,SPP_B,paired-end
B6SPP4_C5,SPP_C5,paired-end
B6SPP4_C7,SPP_C7,paired-end