Geneid,Up in N+P vs. N,Up in S+P vs. S,,,Geneid,Down in N+P vs. N,Down in S+P vs. S
ENSMUSG00000047562,1.607731247,4.273774518,,,ENSMUSG00000036172,0.19097526,-1.357254162
ENSMUSG00000086152,0.701944103,3.304833067,,,ENSMUSG00000071324,0.08853968,-0.865252328
ENSMUSG00000111739,0.647552697,2.641766718,,,ENSMUSG00000100798,-0.404214582,-0.739525606
ENSMUSG00000036499,0.873108144,2.133387271,,,ENSMUSG00000019726,0.117833799,-0.386789245
ENSMUSG00000115735,0.922908168,1.913247848,,,ENSMUSG00000024124,0.065714533,-0.262242402
ENSMUSG00000040899,0.721174424,1.723633335,,,ENSMUSG00000022419,0.191930143,-0.230229655
ENSMUSG00000038679,0.684366452,1.634096294,,,ENSMUSG00000000303,0.04792636,-0.144064803
ENSMUSG00000034573,0.471188095,1.566849338,,,ENSMUSG00000110317,0.11353614,-0.087884829
ENSMUSG00000043733,0.740160526,1.123191445,,,,,
ENSMUSG00000031286,-0.150449518,0.988866792,,,,,
ENSMUSG00000016529,1.335457255,0.855901682,,,,,
ENSMUSG00000017314,-0.320057867,0.811841574,,,,,
ENSMUSG00000033083,0.245231235,0.662867794,,,,,
ENSMUSG00000026011,-0.10424705,0.614005439,,,,,
ENSMUSG00000071552,0.126521079,0.588227275,,,,,
ENSMUSG00000015314,-0.17543197,0.537302451,,,,,
ENSMUSG00000026285,0.455314157,0.513696992,,,,,
ENSMUSG00000109759,0.204711826,0.483617445,,,,,
ENSMUSG00000025810,0.415075853,0.472262641,,,,,
ENSMUSG00000097223,-0.415267708,0.463522254,,,,,
ENSMUSG00000030410,-0.148240843,0.44731029,,,,,
ENSMUSG00000097604,-0.456063836,0.442782961,,,,,
ENSMUSG00000111828,-0.101837016,0.427090488,,,,,
ENSMUSG00000037211,0.257215718,0.414640213,,,,,
ENSMUSG00000110697,-0.278057153,0.410377176,,,,,
ENSMUSG00000113769,-0.232586911,0.389176499,,,,,
ENSMUSG00000092622,-0.11730074,0.372218616,,,,,
ENSMUSG00000020454,0.039969615,0.357643623,,,,,
ENSMUSG00000022876,0.162386934,0.351070329,,,,,
ENSMUSG00000032021,-0.271343969,0.347908297,,,,,
ENSMUSG00000038264,-0.508841345,0.343744254,,,,,
ENSMUSG00000029075,-0.319683966,0.340892769,,,,,
ENSMUSG00000068923,-0.039287933,0.336604859,,,,,
ENSMUSG00000004032,0.28239566,0.333727628,,,,,
ENSMUSG00000033016,-0.192218756,0.327752166,,,,,
ENSMUSG00000085546,-0.073205428,0.311867441,,,,,
ENSMUSG00000026573,0.144709719,0.299510236,,,,,
ENSMUSG00000057123,0.157303383,0.295026865,,,,,
ENSMUSG00000018919,-0.35814401,0.285330516,,,,,
ENSMUSG00000059866,-0.239401679,0.276740669,,,,,
ENSMUSG00000040841,-0.095466797,0.267406158,,,,,
ENSMUSG00000019843,0.027467017,0.25885015,,,,,
ENSMUSG00000097354,0.021186222,0.251818662,,,,,
ENSMUSG00000055435,0.366818771,0.243210593,,,,,
ENSMUSG00000051998,-0.229729014,0.235523449,,,,,
ENSMUSG00000022661,0.338467086,0.231917262,,,,,
ENSMUSG00000040631,-0.067790442,0.227683263,,,,,
ENSMUSG00000034258,0.008012723,0.222731789,,,,,
ENSMUSG00000018451,-0.473544638,0.221884234,,,,,
ENSMUSG00000031438,0.044086612,0.20806033,,,,,
ENSMUSG00000042828,-0.262239459,0.20788502,,,,,
ENSMUSG00000005124,-0.066461145,0.19363009,,,,,
ENSMUSG00000007021,-0.193409482,0.187714527,,,,,
ENSMUSG00000006310,-0.018440569,0.185020425,,,,,
ENSMUSG00000034634,-0.149278935,0.181160847,,,,,
ENSMUSG00000030122,0.043306294,0.171758345,,,,,
ENSMUSG00000030124,0.043306294,0.171758345,,,,,
ENSMUSG00000108214,0.241767309,0.150240916,,,,,
ENSMUSG00000034394,-0.001470648,0.139644759,,,,,
ENSMUSG00000028245,0.394423532,0.13175468,,,,,
ENSMUSG00000003847,0.15822946,0.130360309,,,,,
ENSMUSG00000041272,0.048331375,0.129954648,,,,,
ENSMUSG00000021109,0.046432104,0.112158357,,,,,
ENSMUSG00000025809,0.446407868,0.107449317,,,,,
ENSMUSG00000038068,-0.05035575,0.105897574,,,,,
ENSMUSG00000046169,0.102190238,0.100338441,,,,,
ENSMUSG00000031628,0.018801008,0.08193729,,,,,
ENSMUSG00000021638,0.364478746,0.055956189,,,,,
ENSMUSG00000022793,0.254435979,0.055323099,,,,,
ENSMUSG00000011256,0.077708321,0.030872765,,,,,
ENSMUSG00000026721,-0.012714038,0.021946827,,,,,
ENSMUSG00000039521,-0.076848269,0.008754185,,,,,
ENSMUSG00000026009,-0.053722677,0.00857104,,,,,
ENSMUSG00000008496,-0.039458622,0.007753724,,,,,
ENSMUSG00000079037,-0.160266634,0.005345431,,,,,