Symbol	Rank	ES	Core_enrichment	Plot
NA	0	0	FALSE	FALSE
B4GALT4	0	0.2036247	TRUE	FALSE
IL10	3	0.37705186	TRUE	TRUE
COCH	5	0.4797872	TRUE	FALSE
SYNGR3	12	0.53831387	TRUE	FALSE
SEMA7A	19	0.584698	TRUE	FALSE
IL21	26	0.6200193	TRUE	FALSE
CSF1	36	0.6449474	TRUE	FALSE
PEX11A	50	0.66412747	TRUE	FALSE
ATCAY	52	0.6853916	TRUE	FALSE
GPRASP2	59	0.70380604	TRUE	FALSE
RIPPLY3	79	0.7132633	TRUE	FALSE
JRK	81	0.7267509	TRUE	FALSE
PLPP2	87	0.737599	TRUE	FALSE
IGHD	88	0.7495269	TRUE	FALSE
KLK1B27	89	0.7613734	TRUE	FALSE
HIC1	106	0.7666456	TRUE	FALSE
CRB3	110	0.7745704	TRUE	FALSE
ATP9A	112	0.78291	TRUE	FALSE
GORASP1	132	0.7851508	TRUE	FALSE
WFS1	185	0.77720916	TRUE	FALSE
SPP1	193	0.77895755	TRUE	FALSE
PLXNA3	194	0.7822915	TRUE	FALSE
NCMAP	205	0.7828405	TRUE	FALSE
SETBP1	210	0.78468084	TRUE	FALSE
SPOCK2	216	0.78612435	TRUE	FALSE
TOX	229	0.78563696	TRUE	TRUE
OTOS	238	0.7857075	TRUE	FALSE
TIGIT	246	0.7858093	TRUE	TRUE
CD200	252	0.7862869	TRUE	FALSE
SLC37A2	258	0.78664744	TRUE	FALSE
TBC1D4	265	0.7865766	FALSE	FALSE
MYO1E	283	0.78375643	FALSE	FALSE
IZUMO1R	285	0.7845461	FALSE	FALSE
TOX2	287	0.78529644	FALSE	FALSE
PFKFB4	288	0.7862746	FALSE	FALSE
LAG3	293	0.7862627	FALSE	FALSE
GSTM4	305	0.784441	FALSE	FALSE
SPRY1	314	0.78323877	FALSE	FALSE
EPHB6	316	0.7836103	FALSE	FALSE
CCR8	328	0.78162205	FALSE	FALSE
CYP11A1	330	0.78189874	FALSE	FALSE
CASP3	340	0.78030866	FALSE	FALSE
SYNPO	343	0.7803072	FALSE	FALSE
SCCPDH	344	0.78076106	FALSE	FALSE
YPEL2	345	0.7812048	FALSE	FALSE
CAND2	349	0.7809365	FALSE	FALSE
POU2F2	350	0.78134495	FALSE	FALSE
PTMS	355	0.7808169	FALSE	FALSE
SLC29A4	357	0.780961	FALSE	FALSE
CACNA1D	366	0.7794752	FALSE	FALSE
ENPP5	369	0.77934307	FALSE	FALSE
ICA1	371	0.7794291	FALSE	FALSE
PTPN11	381	0.77764285	FALSE	FALSE
PDCD1LG2	383	0.777674	FALSE	FALSE
MMD	387	0.7772387	FALSE	FALSE
TSPAN32	388	0.7774862	FALSE	FALSE
LCLAT1	390	0.7775032	FALSE	FALSE
RGS16	392	0.7775118	FALSE	FALSE
LZTS1	394	0.77751094	FALSE	FALSE
CTLA4	399	0.77681667	FALSE	FALSE
TNFRSF4	401	0.7768048	FALSE	FALSE
HAVCR2	408	0.7756358	FALSE	FALSE
NRGN	410	0.7756034	FALSE	FALSE
SLC16A3	413	0.77533937	FALSE	FALSE
PDCD1	426	0.7727715	FALSE	FALSE
FCHSD1	427	0.77293754	FALSE	FALSE
RABGAP1L	430	0.77264464	FALSE	FALSE
CENPA	431	0.7728064	FALSE	FALSE
CLIP3	434	0.7725097	FALSE	FALSE
ZFP219	436	0.77243996	FALSE	FALSE
SLC9B2	440	0.77190715	FALSE	FALSE
TRGV2	442	0.7718274	FALSE	FALSE
TNFSF8	443	0.77197444	FALSE	FALSE
CLSPN	461	0.7682276	FALSE	FALSE
KCTD11	464	0.76789814	FALSE	FALSE
NAB2	465	0.7680241	FALSE	FALSE
PRKCH	466	0.7681495	FALSE	FALSE
NRBP2	474	0.7666739	FALSE	FALSE
CDKN2C	479	0.7658802	FALSE	FALSE
EIF4ENIF1	481	0.7657701	FALSE	FALSE
NR4A2	488	0.764517	FALSE	FALSE
IKZF2	491	0.76417494	FALSE	FALSE
LRMP	498	0.7629135	FALSE	FALSE
NAIP5	504	0.7618767	FALSE	FALSE
STK39	521	0.7583243	FALSE	FALSE
IRF8	522	0.75841796	FALSE	FALSE
TJP2	523	0.7585116	FALSE	FALSE
FBXO44	533	0.7565489	FALSE	FALSE
SAMSN1	536	0.75618094	FALSE	FALSE
NSMAF	541	0.7553547	FALSE	FALSE
PTGER2	543	0.75521076	FALSE	FALSE
APH1B	567	0.7500389	FALSE	FALSE
CCDC28B	576	0.74828225	FALSE	FALSE
LXN	586	0.7462936	FALSE	FALSE
E2F3	596	0.74430203	FALSE	FALSE
DECR1	600	0.74367714	FALSE	FALSE
MCUB	605	0.7428217	FALSE	FALSE
PACSIN1	612	0.7415091	FALSE	FALSE
CALCB	615	0.74110746	FALSE	FALSE
CAPN3	625	0.73910916	FALSE	FALSE
SMIM10L2A	626	0.7391617	FALSE	FALSE
DRAM1	628	0.7389859	FALSE	FALSE
ALDH7A1	632	0.73835385	FALSE	FALSE
ITM2A	634	0.7381775	FALSE	FALSE
MRGPRE	646	0.7357198	FALSE	FALSE
CRMP1	648	0.73554087	FALSE	FALSE
DNMT3B	649	0.7355898	FALSE	FALSE
CXXC5	656	0.7342694	FALSE	FALSE
CNTROB	672	0.7308953	FALSE	FALSE
PLSCR1	677	0.7300274	FALSE	FALSE
GCNT1	678	0.730071	FALSE	FALSE
KCNH2	688	0.72806215	FALSE	FALSE
NEK8	704	0.72468424	FALSE	FALSE
TNFRSF9	705	0.7247245	FALSE	FALSE
ST6GALNAC3	706	0.7247645	FALSE	FALSE
ANKRD46	708	0.7245766	FALSE	FALSE
MYO1C	714	0.72347635	FALSE	FALSE
TRBV12-2	721	0.7221472	FALSE	FALSE
CALM3	725	0.72150135	FALSE	FALSE
EPHX1	737	0.7190295	FALSE	FALSE
ADAP1	747	0.71701187	FALSE	FALSE
TWSG1	748	0.7170453	FALSE	FALSE
LITAF	754	0.715938	FALSE	FALSE
EMILIN1	757	0.71551365	FALSE	FALSE
TBC1D7	760	0.71508884	FALSE	FALSE
PKN3	764	0.71443564	FALSE	FALSE
SUPT3	765	0.71446615	FALSE	FALSE
ELK3	768	0.71404034	FALSE	FALSE
EGR2	771	0.7136142	FALSE	FALSE
TMEM38B	774	0.713188	FALSE	FALSE
FBXL18	775	0.7132173	FALSE	FALSE
RAPGEF1	782	0.7118792	FALSE	FALSE
ZFP36L1	795	0.709172	FALSE	FALSE
PRELID2	797	0.7089716	FALSE	FALSE
PREX1	803	0.7078592	FALSE	FALSE
TRBD1	806	0.70743	FALSE	FALSE
BCL2A1D	815	0.705633	FALSE	FALSE
PLCXD1	836	0.70109946	FALSE	FALSE
DGKZ	846	0.6990721	FALSE	FALSE
SFT2D2	848	0.6988677	FALSE	FALSE
C430042M11RIK	849	0.6988908	FALSE	FALSE
CD3E	854	0.6980018	FALSE	FALSE
SNX33	873	0.6939205	FALSE	FALSE
CTDNEP1	880	0.6925738	FALSE	FALSE
SEMA4C	893	0.68985903	FALSE	FALSE
NDFIP1	908	0.6866875	FALSE	FALSE
FCRL1	910	0.6864786	FALSE	FALSE
ZMYM3	938	0.6803427	FALSE	FALSE
SDCBP2	941	0.67990404	FALSE	FALSE
CD200R1	958	0.6762742	FALSE	FALSE
PITPNM2	975	0.6726433	FALSE	FALSE
PTPN5	977	0.67243075	FALSE	FALSE
PRSS36	988	0.6701668	FALSE	FALSE
OCIAD2	1001	0.6674464	FALSE	FALSE
SMIM3	1011	0.66540915	FALSE	FALSE
ZFAND3	1025	0.66245973	FALSE	FALSE
INPP5B	1033	0.6608775	FALSE	FALSE
PLK3	1034	0.6608905	FALSE	FALSE
RBL2	1047	0.6581683	FALSE	FALSE
NAPSA	1049	0.6579529	FALSE	FALSE
TRBJ1-4	1065	0.65454644	FALSE	FALSE
PBX4	1067	0.6543305	FALSE	FALSE
MORN1	1072	0.6534307	FALSE	FALSE
PRRT1	1092	0.6491118	FALSE	FALSE
NEURL2	1096	0.64843917	FALSE	FALSE
DCXR	1099	0.64799434	FALSE	FALSE
SLC22A15	1104	0.6470935	FALSE	FALSE
BCOR	1120	0.6436852	FALSE	FALSE
PRR5L	1141	0.63913697	FALSE	FALSE
DUSP6	1145	0.6384629	FALSE	FALSE
ADGRG1	1157	0.6359654	FALSE	FALSE
EVA1B	1166	0.6341514	FALSE	FALSE
ACBD4	1183	0.63051397	FALSE	FALSE
ABHD4	1209	0.6248249	FALSE	FALSE
NFIL3	1231	0.62004703	FALSE	FALSE
CASP7	1254	0.6150409	FALSE	FALSE
DOK1	1261	0.6136809	FALSE	FALSE
LBH	1269	0.6120928	FALSE	FALSE
MAZ	1289	0.60776955	FALSE	FALSE
TK1	1290	0.6077763	FALSE	FALSE
TRBC2	1294	0.60709924	FALSE	FALSE
MXD4	1298	0.6064221	FALSE	FALSE
CAR2	1301	0.6059729	FALSE	FALSE
PEAR1	1318	0.6023328	FALSE	FALSE
DHCR7	1319	0.602339	FALSE	FALSE
CERS6	1331	0.59983826	FALSE	FALSE
METTL6	1346	0.5966536	FALSE	FALSE
RIPK3	1347	0.5966594	FALSE	FALSE
GZMA	1358	0.59438604	FALSE	FALSE
TMEM135	1365	0.59302413	FALSE	FALSE
ARF3	1370	0.592118	FALSE	FALSE
VMP1	1374	0.5914397	FALSE	FALSE
CELA1	1381	0.5900776	FALSE	FALSE
KLC3	1383	0.5898549	FALSE	FALSE
CST7	1387	0.58917636	FALSE	FALSE
CD8A	1392	0.5882698	FALSE	FALSE
TRBV29	1398	0.5871354	FALSE	FALSE
HNRNPL	1407	0.585317	FALSE	FALSE
JAK3	1408	0.5853218	FALSE	FALSE
PRR5	1411	0.58487076	FALSE	FALSE
SERPINA3G	1418	0.583508	FALSE	FALSE
PLOD2	1422	0.582829	FALSE	FALSE
CTSB	1428	0.5816941	FALSE	FALSE
NEU3	1432	0.581015	FALSE	FALSE
TMEM39B	1438	0.57988	FALSE	FALSE
ZNHIT1	1448	0.57783335	FALSE	FALSE
CBARP	1455	0.57647026	FALSE	FALSE
TRP53INP2	1460	0.5755629	FALSE	FALSE
AGBL5	1468	0.57397187	FALSE	FALSE
TRBJ1-2	1470	0.5737481	FALSE	FALSE
NUDT1	1488	0.569878	FALSE	FALSE
ITM2C	1491	0.56942624	FALSE	FALSE
CDK17	1496	0.56851864	FALSE	FALSE
STX6	1505	0.5666994	FALSE	FALSE
GNB4	1506	0.56670326	FALSE	FALSE
TRAPPC3	1525	0.56260484	FALSE	FALSE
ORAI1	1542	0.55896217	FALSE	FALSE
ITIH5	1554	0.55645883	FALSE	FALSE
WLS	1559	0.55555075	FALSE	FALSE
GTDC1	1567	0.5539589	FALSE	FALSE
CCDC57	1570	0.55350655	FALSE	FALSE
ANXA4	1577	0.5521425	FALSE	FALSE
KLHL5	1578	0.5521458	FALSE	FALSE
PPIC	1595	0.5485026	FALSE	FALSE
GNL1	1600	0.54759413	FALSE	FALSE
GPR137	1601	0.54759717	FALSE	FALSE
CBLB	1614	0.54486537	FALSE	FALSE
ARL6IP1	1623	0.54304504	FALSE	FALSE
SNAP47	1627	0.5423642	FALSE	FALSE
VSIG10L	1628	0.54236704	FALSE	FALSE
BAIAP2	1640	0.53986293	FALSE	FALSE
UCP2	1644	0.539182	FALSE	FALSE
SUOX	1660	0.53576624	FALSE	FALSE
SMCO4	1662	0.535541	FALSE	FALSE
CUL7	1664	0.5353157	FALSE	FALSE
SERHL	1690	0.52962077	FALSE	FALSE
LAT2	1692	0.5293953	FALSE	FALSE
CDCA2	1699	0.5280302	FALSE	FALSE
MDFIC	1709	0.5259815	FALSE	FALSE
ST3GAL2	1739	0.51937467	FALSE	FALSE
PDZD11	1741	0.5191489	FALSE	FALSE
CCNI	1745	0.5184673	FALSE	FALSE
RNF135	1764	0.51436716	FALSE	FALSE
MICU1	1779	0.51117855	FALSE	FALSE
DGCR6	1781	0.5109526	FALSE	FALSE
CAPNS1	1787	0.509815	FALSE	FALSE
NAA40	1801	0.5068542	FALSE	FALSE
AGFG1	1810	0.5050328	FALSE	FALSE
PERP	1819	0.5032114	FALSE	FALSE
KIF15	1830	0.5009341	FALSE	FALSE
AUH	1840	0.49888468	FALSE	FALSE
VAMP8	1867	0.49296093	FALSE	FALSE
ACADL	1868	0.4929624	FALSE	FALSE
CBX6	1869	0.49296388	FALSE	FALSE
PABPC4	1885	0.48954687	FALSE	FALSE
EML2	1894	0.48772505	FALSE	FALSE
SPATA2L	1898	0.48704267	FALSE	FALSE
CRLF2	1902	0.4863603	FALSE	FALSE
ANGPTL2	1910	0.48476633	FALSE	FALSE
GPLD1	1912	0.48453972	FALSE	FALSE
SPRY2	1918	0.4834015	FALSE	FALSE
PCBP4	1937	0.4793006	FALSE	FALSE
TSTD3	1952	0.47611117	FALSE	FALSE
UNC119B	1966	0.4731496	FALSE	FALSE
TMEM242	1971	0.47223905	FALSE	FALSE
SHKBP1	1978	0.47087267	FALSE	FALSE
PDK2	1982	0.47018996	FALSE	FALSE
MAP2	1993	0.467912	FALSE	FALSE
PLEKHM2	2012	0.4638108	FALSE	FALSE
CREM	2038	0.45811427	FALSE	FALSE
DECR2	2041	0.4576593	FALSE	FALSE
NSDHL	2046	0.45674855	FALSE	FALSE
PGLYRP1	2055	0.45492616	FALSE	FALSE
SH3GLB2	2062	0.45355958	FALSE	FALSE
BORCS6	2063	0.45356035	FALSE	FALSE
OXSR1	2094	0.4467242	FALSE	FALSE
TRAF5	2101	0.4453575	FALSE	FALSE
CAMKMT	2105	0.44467446	FALSE	FALSE
TIMM17B	2109	0.44399142	FALSE	FALSE
ZFP395	2115	0.44285256	FALSE	FALSE
FDFT1	2120	0.4419416	FALSE	FALSE
PTPN7	2140	0.43761218	FALSE	FALSE
RGS3	2144	0.43692905	FALSE	FALSE
SIK1	2155	0.43465063	FALSE	FALSE
FAM174A	2165	0.4326001	FALSE	FALSE
YAF2	2174	0.43077743	FALSE	FALSE
CERS4	2184	0.42872685	FALSE	FALSE
ANKRD29	2192	0.42713204	FALSE	FALSE
MZT2	2200	0.42553723	FALSE	FALSE
STARD3NL	2201	0.42553765	FALSE	FALSE
WDTC1	2217	0.42211965	FALSE	FALSE
AGPAT4	2231	0.4191574	FALSE	FALSE
RPS6KA1	2232	0.41915774	FALSE	FALSE
ACOT7	2244	0.41665128	FALSE	FALSE
FLOT2	2245	0.41665164	FALSE	FALSE
FUS	2269	0.41141036	FALSE	FALSE
PRRC1	2284	0.40822014	FALSE	FALSE
SDF4	2298	0.40525776	FALSE	FALSE
EHMT2	2302	0.40457436	FALSE	FALSE
SIPA1	2313	0.40229565	FALSE	FALSE
FARP1	2324	0.40001693	FALSE	FALSE
SLC36A1	2351	0.39409187	FALSE	FALSE
PTK2B	2354	0.39363626	FALSE	FALSE
EHD1	2360	0.39249697	FALSE	FALSE
MATK	2367	0.3911298	FALSE	FALSE
PRKCSH	2371	0.39044628	FALSE	FALSE
ATAT1	2375	0.38976273	FALSE	FALSE
FUCA2	2377	0.389535	FALSE	FALSE
SCRIB	2385	0.38793987	FALSE	FALSE
ZER1	2408	0.38292632	FALSE	FALSE
MAN2B2	2411	0.38247064	FALSE	FALSE
GOT2	2420	0.3806476	FALSE	FALSE
POLD4	2422	0.38041982	FALSE	FALSE
KDM4D	2433	0.37814096	FALSE	FALSE
SLC35B1	2444	0.3758621	FALSE	FALSE
MLLT6	2456	0.37335533	FALSE	FALSE
PPP1R16B	2476	0.36902538	FALSE	FALSE
HPS4	2482	0.36788595	FALSE	FALSE
SUSD1	2507	0.3624165	FALSE	FALSE
PPIE	2624	0.3359809	FALSE	FALSE
PEF1	2639	0.3327905	FALSE	FALSE
PLGRKT	2646	0.33142328	FALSE	FALSE
DMAP1	2651	0.33051184	FALSE	FALSE
WDR83	2654	0.33005622	FALSE	FALSE
PNPLA7	2657	0.32960057	FALSE	FALSE
CARNS1	2709	0.31797817	FALSE	FALSE
ACAA1A	2743	0.31045792	FALSE	FALSE
FIBP	2813	0.29473355	FALSE	FALSE
TAZ	2826	0.29199916	FALSE	FALSE
SNRNP35	2835	0.2901764	FALSE	FALSE
CFAP126	2837	0.28994888	FALSE	FALSE
LRRC61	2885	0.27923828	FALSE	FALSE
H2-DMA	2899	0.27627614	FALSE	FALSE
TNFRSF1A	2949	0.26510993	FALSE	FALSE
FCER1G	2991	0.25576693	FALSE	FALSE
COMMD4	2993	0.25553975	FALSE	FALSE
PSKH1	3011	0.25166625	FALSE	FALSE
DCTN2	3026	0.2484765	FALSE	FALSE
PMM1	3065	0.2398174	FALSE	FALSE
EDEM2	3076	0.23753935	FALSE	FALSE
SRXN1	3088	0.23503342	FALSE	FALSE
PADI2	3145	0.22227243	FALSE	FALSE
RFC2	3162	0.21862726	FALSE	FALSE
ADAT2	3177	0.21543792	FALSE	FALSE
LGALS4	3181	0.21475542	FALSE	FALSE
NECAP2	3199	0.21088246	FALSE	FALSE
TAF11	3205	0.20974424	FALSE	FALSE
CASC1	3249	0.1999462	FALSE	FALSE
KANK3	3268	0.19584562	FALSE	FALSE
PRDX6	3304	0.18787098	FALSE	FALSE
GSTO1	3318	0.18491006	FALSE	FALSE
BSPRY	3326	0.18331656	FALSE	FALSE
CD72	3333	0.18195099	FALSE	FALSE
MVB12A	3358	0.1764834	FALSE	FALSE
ACADS	3367	0.17466214	FALSE	FALSE
CDK6	3376	0.17284095	FALSE	FALSE
ARRB2	3383	0.17147559	FALSE	FALSE
RASSF1	3406	0.16646408	FALSE	FALSE
DUSP2	3430	0.16122483	FALSE	FALSE
CHPF	3474	0.15142791	FALSE	FALSE
CDK9	3479	0.1505189	FALSE	FALSE
ADSSL1	3525	0.14026654	FALSE	FALSE
SMPD5	3532	0.13890211	FALSE	FALSE
TMEM241	3538	0.13776563	FALSE	FALSE
CD101	3543	0.13685709	FALSE	FALSE
XCR1	3566	0.13184668	FALSE	FALSE
POLR3H	3578	0.12934321	FALSE	FALSE
ARRDC1	3628	0.118180186	FALSE	FALSE
ABCB8	3633	0.11727246	FALSE	FALSE
TIAM2	3637	0.11659268	FALSE	FALSE
CTSC	3652	0.11340621	FALSE	FALSE
KLC2	3661	0.11158715	FALSE	FALSE
NEURL3	3673	0.10908452	FALSE	FALSE
GGT5	3675	0.10886085	FALSE	FALSE
ZMYND10	3691	0.105446845	FALSE	FALSE
TRAV9-1	3749	0.09246203	FALSE	FALSE
PGAP3	3752	0.09201146	FALSE	FALSE
ITFG2	3773	0.08745901	FALSE	FALSE
SV2A	3787	0.084502	FALSE	FALSE
VPS37B	3798	0.08222883	FALSE	FALSE
TLR7	3802	0.08155101	FALSE	FALSE
BCL2L11	3817	0.07836674	FALSE	FALSE
BTD	3818	0.07837301	FALSE	FALSE
SLA2	3826	0.076784156	FALSE	FALSE
PGLYRP2	3832	0.07565121	FALSE	FALSE
MCF2L	3835	0.07520198	FALSE	FALSE
LTA4H	3837	0.07498065	FALSE	FALSE
VIPAS39	3845	0.07339206	FALSE	FALSE
PTGR1	3869	0.06815769	FALSE	FALSE
TNK2	3874	0.06725342	FALSE	FALSE
TRAV9N-4	3897	0.06224764	FALSE	FALSE
MFSD3	3917	0.057926007	FALSE	FALSE
TMCO6	3931	0.05497201	FALSE	FALSE
PPM1H	3949	0.05110674	FALSE	FALSE
ARAP3	4024	0.034253474	FALSE	FALSE
LSS	4030	0.033125073	FALSE	FALSE
TESK2	4056	0.027439663	FALSE	FALSE
DNAJC6	4058	0.027223755	FALSE	FALSE
ATP6V0A2	4061	0.026780004	FALSE	FALSE
CIRBP	4091	0.020184368	FALSE	FALSE
DGKD	4092	0.020197704	FALSE	FALSE
APPL2	4101	0.018388571	FALSE	FALSE
GSTP1	4143	0.009061219	FALSE	FALSE
AP2A1	4201	-0.003908578	FALSE	FALSE
TRAV6-3	4207	-0.00502739	FALSE	FALSE
CIZ1	4215	-0.006601322	FALSE	FALSE
CHN2	4222	-0.007946917	FALSE	FALSE
TYROBP	4225	-0.008380624	FALSE	FALSE
CNOT10	4252	-0.014280085	FALSE	FALSE
FAXC	4277	-0.019721663	FALSE	FALSE
FASL	4289	-0.022198355	FALSE	FALSE
LMO4	4341	-0.0337831	FALSE	FALSE
CRACR2A	4344	-0.034200698	FALSE	FALSE
PTPN14	4363	-0.038260795	FALSE	FALSE
CCRL2	4370	-0.03958496	FALSE	FALSE
SNX5	4385	-0.042729877	FALSE	FALSE
DGKG	4470	-0.061801035	FALSE	FALSE
BTG2	4567	-0.08350636	FALSE	FALSE
TRAV16N	4570	-0.08377565	FALSE	FALSE
PHKA1	4635	-0.09765582	FALSE	FALSE
OPTN	4642	-0.098255806	FALSE	FALSE
IGHA	4651	-0.09920399	FALSE	FALSE
EEF2K	4670	-0.1016349	FALSE	FALSE
VILL	4712	-0.107346766	FALSE	FALSE
CD200R3	4715	-0.10407302	FALSE	FALSE
KLRB1A	4718	-0.100521244	FALSE	FALSE
LRRC27	4742	-0.09969926	FALSE	FALSE
CARD10	4760	-0.09577564	FALSE	FALSE
PPP1R3B	4781	-0.09053507	FALSE	FALSE
KIF19A	4795	-0.079313576	FALSE	FALSE
SH3YL1	4797	-0.0639783	FALSE	FALSE
CAMK2A	4806	-0.04660637	FALSE	FALSE
ACOXL	4810	-0.02491936	FALSE	FALSE
FAM83H	4816	0.001139228	FALSE	FALSE